"","ID","2","3","4","5"
"1",1,1,3,8,100
"2",2,NA,NA,NA,NA
"3",3,1,1,2,12
"4",4,NA,NA,NA,NA
"5",5,NA,NA,NA,NA
"6",6,5,100,100,100
"7",7,4,38,19,100
"8",8,2,1,1,1
"9",9,12,100,100,100
"10",10,1,100,100,100
"11",11,1,4,11,100
"12",12,1,19,29,100
"13",13,NA,NA,NA,NA
"14",14,1,7,1,26
"15",15,1,1,1,4
"16",16,1,4,6,100
"17",17,2,10,10,100
"18",18,1,3,40,100
"19",19,1,3,6,52
"20",20,1,2,10,100
"21",21,1,1,1,3
"22",22,NA,NA,NA,NA
"23",23,NA,NA,NA,NA
"24",24,1,1,2,3
"25",25,NA,NA,NA,NA
"26",26,NA,NA,NA,NA
"27",27,6,100,100,100
"28",28,2,100,100,100
"29",29,3,100,100,100
"30",30,1,12,100,100
"31",31,1,3,3,100
"32",32,NA,NA,NA,NA
"33",33,1,1,3,48
"34",34,1,1,4,5
"35",35,6,100,100,100
"36",36,1,19,79,100
"37",37,1,11,100,100
"38",38,1,1,1,1
"39",39,NA,NA,NA,NA
"40",40,1,6,12,100
"41",41,1,1,9,18
"42",42,NA,NA,NA,NA
"43",43,1,26,100,100
"44",44,NA,NA,NA,NA
"45",45,1,2,100,100
"46",46,1,1,77,100
"47",47,9,100,100,100
"48",48,NA,NA,NA,NA
"49",49,1,1,9,7
"50",50,NA,NA,NA,NA
"51",51,1,18,100,100
"52",52,1,3,2,100
"53",53,8,100,100,100
"54",54,1,100,100,100
"55",55,46,100,100,100
"56",56,1,2,3,52
"57",57,1,100,17,100
"58",58,9,85,100,100
"59",59,1,1,1,3
"60",60,2,17,100,100
"61",61,1,1,31,100
"62",62,1,4,22,38
"63",63,NA,NA,NA,NA
"64",64,5,18,100,100
"65",65,1,8,1,100
"66",66,3,100,100,100
"67",67,NA,NA,NA,NA
"68",68,NA,NA,NA,NA
"69",69,NA,NA,NA,NA
"70",70,3,100,100,100
