"","ID","2","3","4","5"
"1",1,62,100,100,100
"2",2,NA,NA,NA,NA
"3",3,3,100,100,100
"4",4,1,91,100,100
"5",5,NA,NA,NA,NA
"6",6,85,100,100,100
"7",7,NA,NA,NA,NA
"8",8,NA,NA,NA,NA
"9",9,NA,NA,NA,NA
"10",10,27,10,100,100
"11",11,1,2,3,100
"12",12,NA,NA,NA,NA
"13",14,NA,NA,NA,NA
"14",15,NA,NA,NA,NA
"15",16,NA,NA,NA,NA
"16",17,NA,NA,NA,NA
"17",18,NA,NA,NA,NA
"18",19,NA,NA,NA,NA
"19",20,1,1,3,18
"20",21,3,59,100,100
"21",22,10,100,100,100
"22",23,NA,NA,NA,NA
"23",24,NA,NA,NA,NA
"24",25,NA,NA,NA,NA
"25",26,1,1,2,2
"26",27,2,3,100,100
"27",28,NA,NA,NA,NA
"28",29,NA,NA,NA,NA
"29",30,1,1,3,44
"30",31,NA,NA,NA,NA
"31",32,1,4,1,11
"32",33,1,1,88,100
"33",34,1,3,39,100
"34",35,21,17,100,100
"35",36,NA,NA,NA,NA
"36",37,2,7,29,100
"37",38,NA,NA,NA,NA
"38",39,1,2,2,57
"39",40,7,100,100,100
"40",41,13,100,100,100
"41",42,NA,NA,NA,NA
"42",43,NA,NA,NA,NA
"43",45,30,100,100,100
"44",46,NA,NA,NA,NA
"45",47,NA,NA,NA,NA
"46",48,1,42,100,100
"47",49,NA,NA,NA,NA
"48",50,NA,NA,NA,NA
