"","ID","nstate"
"1",2,NA
"2",3,4
"3",4,4
"4",6,5
"5",8,3
"6",9,3
"7",10,NA
"8",12,5
"9",13,NA
"10",17,5
"11",20,4
"12",23,5
"13",26,5
"14",28,4
"15",31,3
"16",34,3
"17",38,4
"18",39,5
"19",41,4
"20",43,5
"21",46,4
"22",47,4
"23",48,2
"24",52,4
"25",57,3
"26",74,4
"27",82,4
"28",84,4
"29",90,4
"30",94,2
"31",105,4
"32",107,4
"33",124,4
"34",125,3
"35",128,5
"36",154,4
"37",162,3
"38",172,4
"39",173,5
"40",181,5
"41",184,2
"42",186,3
"43",195,4
"44",202,5
"45",236,5
"46",239,NA
"47",258,3
"48",259,2
"49",271,4
"50",281,4
"51",288,3
"52",300,4
"53",306,5
"54",323,3
"55",332,5
"56",352,4
"57",359,3
"58",364,4
"59",367,3
"60",370,3
"61",376,5
"62",379,2
"63",392,2
"64",394,4
"65",398,5
"66",405,5
"67",407,4
"68",426,5
"69",430,NA
"70",435,3
"71",447,3
"72",449,3
"73",451,5
"74",454,4
"75",461,5
"76",465,NA
"77",466,2
"78",497,3
"79",499,4
"80",500,4
"81",504,5
"82",512,3
"83",518,5
"84",520,5
"85",524,3
"86",526,4
"87",527,5
"88",529,3
"89",531,4
"90",536,4
"91",543,3
"92",556,5
"93",559,5
"94",560,4
"95",568,3
"96",587,3
"97",603,4
