"","ID","nstate"
"1",1,2
"2",2,NA
"3",3,NA
"4",4,2
"5",5,NA
"6",6,2
"7",7,3
"8",8,NA
"9",9,NA
"10",10,2
"11",12,2
"12",13,2
"13",14,2
"14",15,3
"15",16,2
"16",17,NA
"17",18,2
"18",19,NA
"19",20,2
"20",21,3
"21",22,3
"22",23,2
"23",24,2
"24",25,2
"25",26,NA
"26",27,2
"27",28,3
"28",29,3
"29",30,2
"30",31,NA
"31",32,3
"32",33,3
"33",34,2
"34",35,3
"35",36,3
"36",37,2
"37",38,3
"38",40,2
"39",41,2
"40",42,2
"41",43,2
"42",44,2
"43",45,NA
"44",46,2
"45",47,3
"46",48,3
"47",49,NA
"48",50,2
"49",51,3
"50",52,3
"51",53,NA
"52",54,2
"53",55,2
"54",56,3
"55",57,NA
"56",58,2
"57",59,NA
"58",60,2
"59",61,2
"60",62,4
"61",63,NA
"62",64,2
"63",65,2
"64",66,NA
"65",67,NA
"66",68,2
"67",69,2
"68",70,2
"69",71,NA
"70",72,3
"71",73,NA
"72",74,NA
"73",75,2
"74",76,3
"75",77,3
"76",78,NA
"77",79,3
"78",80,2
"79",81,3
"80",82,3
"81",83,3
"82",84,4
"83",85,NA
"84",86,2
"85",87,3
"86",88,2
"87",89,3
"88",90,2
"89",91,NA
"90",92,2
"91",93,2
"92",94,2
"93",95,2
"94",96,NA
"95",97,2
"96",98,2
"97",99,2
"98",100,NA
"99",102,4
"100",103,3
"101",104,NA
"102",105,NA
"103",106,2
"104",107,NA
"105",108,NA
"106",109,NA
"107",110,NA
"108",111,NA
"109",112,2
