"","ID","nstate"
"1",2,NA
"2",3,NA
"3",4,NA
"4",5,NA
"5",6,NA
"6",7,2
"7",8,3
"8",9,NA
"9",10,NA
"10",11,2
"11",12,NA
"12",14,3
"13",15,NA
"14",16,NA
"15",17,2
"16",18,NA
"17",20,NA
"18",21,NA
"19",22,3
"20",23,NA
"21",24,3
"22",25,NA
"23",26,NA
"24",27,NA
"25",28,NA
"26",29,NA
"27",30,NA
"28",31,NA
"29",32,NA
"30",33,NA
"31",34,NA
"32",35,NA
"33",36,2
"34",37,NA
"35",38,NA
"36",39,NA
"37",40,2
"38",41,NA
"39",42,NA
"40",43,NA
"41",44,NA
"42",46,NA
"43",47,NA
"44",48,2
"45",49,NA
"46",50,NA
"47",51,NA
"48",52,4
"49",53,NA
"50",54,NA
"51",55,NA
"52",56,NA
"53",57,2
"54",58,2
"55",59,2
"56",60,3
"57",61,NA
"58",62,NA
"59",63,NA
"60",64,NA
"61",65,NA
"62",66,NA
"63",67,NA
"64",68,2
"65",69,NA
"66",70,NA
"67",71,3
"68",72,NA
"69",73,NA
"70",74,2
"71",75,NA
"72",76,NA
"73",77,NA
"74",78,3
"75",79,NA
