"","ID","nstate"
"1",1,NA
"2",2,NA
"3",3,NA
"4",4,NA
"5",5,NA
"6",6,NA
"7",7,NA
"8",8,NA
"9",9,NA
"10",10,NA
"11",11,NA
"12",12,NA
"13",13,NA
"14",14,3
"15",15,4
"16",16,NA
"17",17,NA
"18",18,NA
"19",19,NA
"20",20,NA
"21",21,NA
"22",22,NA
"23",23,3
"24",24,NA
"25",25,3
"26",26,4
"27",27,2
"28",28,NA
"29",29,5
"30",30,4
"31",31,3
"32",32,NA
"33",33,2
"34",34,NA
"35",35,3
"36",36,NA
"37",37,2
"38",38,NA
"39",39,2
"40",40,NA
"41",41,4
"42",42,NA
"43",43,2
"44",44,NA
"45",45,3
"46",46,NA
"47",47,NA
"48",48,NA
"49",49,NA
"50",50,NA
"51",51,NA
"52",52,2
"53",53,NA
"54",54,4
"55",55,NA
"56",56,NA
"57",57,NA
"58",58,NA
"59",59,NA
"60",60,NA
"61",61,NA
"62",62,NA
"63",63,2
"64",64,NA
"65",65,NA
"66",66,2
"67",67,2
"68",68,NA
"69",69,3
"70",70,NA
"71",71,NA
"72",72,NA
"73",73,NA
"74",74,NA
"75",75,NA
"76",76,4
"77",77,4
"78",78,NA
"79",79,NA
"80",80,NA
"81",81,NA
"82",82,NA
"83",83,NA
"84",84,NA
"85",85,NA
"86",86,3
"87",87,2
"88",88,2
"89",89,NA
"90",90,NA
"91",91,NA
"92",92,NA
"93",93,NA
"94",94,2
"95",95,2
"96",96,2
"97",97,3
