"","ID","nstate"
"1",1,5
"2",3,4
"3",4,3
"4",5,4
"5",7,2
"6",8,2
"7",11,5
"8",12,2
"9",13,3
"10",14,2
"11",15,3
"12",16,5
"13",18,4
"14",20,2
"15",21,3
"16",22,2
"17",23,5
"18",24,2
"19",25,NA
"20",27,4
"21",28,4
"22",29,4
"23",30,5
"24",31,4
"25",32,5
"26",33,NA
"27",34,5
"28",35,NA
"29",36,2
"30",37,5
"31",38,3
"32",40,4
"33",43,NA
"34",44,3
"35",45,2
"36",46,4
"37",47,3
"38",48,2
"39",51,3
"40",52,5
"41",53,4
"42",54,2
"43",55,NA
"44",56,5
"45",58,4
"46",59,2
"47",60,4
"48",62,4
"49",63,2
"50",64,5
"51",65,2
"52",66,3
"53",67,3
"54",68,4
"55",69,NA
"56",70,4
"57",71,4
"58",72,4
"59",73,3
"60",74,4
"61",75,3
"62",76,NA
"63",77,NA
"64",78,4
"65",79,3
"66",80,3
"67",81,3
"68",82,4
"69",83,3
"70",84,4
"71",85,NA
"72",86,2
"73",87,3
"74",88,5
"75",89,3
"76",90,3
"77",91,4
"78",92,2
"79",93,3
"80",94,2
"81",95,3
"82",96,4
"83",97,3
"84",99,2
"85",100,3
"86",102,4
"87",103,2
"88",104,4
"89",105,2
"90",106,2
"91",108,NA
"92",109,3
"93",110,2
"94",111,NA
"95",112,2
"96",113,3
"97",114,4
"98",115,3
"99",116,5
"100",117,NA
"101",118,3
"102",119,4
"103",120,4
"104",121,2
"105",122,5
"106",123,2
"107",124,NA
"108",125,3
"109",126,2
"110",127,5
"111",129,3
"112",130,4
"113",131,2
