"","ID","nstate"
"1",102,3
"2",103,5
"3",104,4
"4",105,5
"5",106,5
"6",107,2
"7",108,4
"8",110,2
"9",111,4
"10",112,5
"11",113,NA
"12",115,5
"13",116,5
"14",117,NA
"15",118,5
"16",119,NA
"17",120,5
"18",121,4
"19",122,4
"20",123,NA
"21",124,NA
"22",126,4
"23",127,4
"24",130,2
"25",131,NA
"26",132,4
"27",134,4
"28",135,5
"29",136,NA
"30",137,5
"31",138,4
"32",139,5
"33",140,5
"34",141,4
"35",142,2
"36",143,NA
"37",144,4
"38",145,3
"39",146,4
"40",150,4
"41",152,4
"42",153,4
"43",156,5
"44",158,NA
"45",159,5
"46",162,NA
"47",163,5
"48",164,4
"49",165,5
"50",166,5
"51",168,NA
"52",169,4
"53",170,5
"54",171,3
"55",172,5
"56",173,5
"57",175,NA
"58",176,5
"59",178,4
"60",179,NA
"61",180,3
"62",181,5
"63",182,NA
"64",183,4
"65",184,2
"66",185,NA
"67",186,4
"68",187,2
"69",188,4
"70",189,5
"71",190,5
"72",191,5
