"","ID","nstate"
"1",1011,2
"2",1012,2
"3",1014,4
"4",1015,5
"5",1016,5
"6",1017,3
"7",1018,2
"8",1019,4
"9",1020,4
"10",1021,NA
"11",1022,4
"12",1023,3
"13",1024,4
"14",1025,3
"15",1026,4
"16",1027,3
"17",1028,3
"18",1029,2
"19",1030,2
"20",1031,NA
"21",1032,4
"22",1033,2
"23",1034,3
"24",1035,2
"25",1036,4
"26",1037,4
"27",1038,NA
"28",1039,3
"29",1040,4
"30",1041,NA
"31",1042,2
"32",1044,4
"33",1045,4
"34",1046,NA
"35",1047,4
"36",1049,4
"37",1050,5
"38",1051,3
"39",1052,5
"40",1054,3
"41",1056,5
"42",1057,5
"43",1059,2
"44",1060,4
"45",1061,3
"46",1062,4
"47",1063,4
"48",1064,2
"49",1065,2
"50",1067,3
"51",1068,NA
"52",1070,5
"53",1071,4
"54",1072,4
"55",1073,2
"56",1074,4
"57",1075,4
"58",1076,5
"59",1077,2
"60",1078,4
"61",1080,4
"62",1082,5
"63",1083,2
"64",1084,2
"65",1086,5
"66",1087,5
"67",1088,5
"68",1089,4
"69",1090,4
"70",1091,NA
"71",1092,5
"72",1093,3
"73",1094,5
"74",1095,3
"75",1096,3
"76",1097,4
"77",1098,5
"78",1099,2
"79",1100,4
"80",1101,5
"81",1102,3
