"","ID","2","3","4","5"
"1",1,1,1,1,1
"2",3,1,1,1,1
"3",4,1,1,1,1
"4",6,1,1,1,1
"5",7,10,100,100,100
"6",8,1,3,2,18
"7",9,1,1,1,1
"8",10,1,1,1,1
"9",12,1,1,1,1
"10",13,1,1,1,1
"11",14,1,1,1,1
"12",19,1,1,1,1
"13",21,1,1,1,1
"14",23,1,1,3,9
"15",25,1,1,1,1
"16",33,1,1,2,1
"17",37,1,1,1,1
"18",40,1,9,39,36
"19",48,1,1,1,1
"20",68,1,1,1,1
"21",72,1,1,1,1
"22",74,1,1,1,1
"23",75,1,1,1,1
"24",100,3,43,10,41
"25",111,1,1,1,1
"26",113,1,1,1,6
"27",115,1,1,1,1
"28",117,1,1,1,1
"29",127,1,1,1,1
"30",137,1,1,1,1
"31",139,1,1,1,1
"32",145,1,1,1,2
"33",160,1,1,1,1
"34",163,1,1,1,2
"35",169,1,1,1,1
"36",202,1,1,1,1
"37",203,1,1,1,1
"38",204,1,1,1,1
"39",215,1,1,1,1
"40",217,1,1,1,1
