"","ID","2","3","4","5"
"1",2,NA,NA,NA,NA
"2",3,NA,NA,NA,NA
"3",4,NA,NA,NA,NA
"4",5,NA,NA,NA,NA
"5",6,NA,NA,NA,NA
"6",7,2,16,100,100
"7",8,2,28,100,100
"8",9,NA,NA,NA,NA
"9",10,NA,NA,NA,NA
"10",11,2,100,100,100
"11",12,NA,NA,NA,NA
"12",14,100,38,72,100
"13",15,NA,NA,NA,NA
"14",16,NA,NA,NA,NA
"15",17,7,100,100,100
"16",18,NA,NA,NA,NA
"17",20,NA,NA,NA,NA
"18",21,NA,NA,NA,NA
"19",22,2,41,100,100
"20",23,NA,NA,NA,NA
"21",24,1,1,100,100
"22",25,NA,NA,NA,NA
"23",26,NA,NA,NA,NA
"24",27,NA,NA,NA,NA
"25",28,NA,NA,NA,NA
"26",29,NA,NA,NA,NA
"27",30,NA,NA,NA,NA
"28",31,NA,NA,NA,NA
"29",32,NA,NA,NA,NA
"30",33,NA,NA,NA,NA
"31",34,NA,NA,NA,NA
"32",35,NA,NA,NA,NA
"33",36,40,100,100,100
"34",37,NA,NA,NA,NA
"35",38,NA,NA,NA,NA
"36",39,NA,NA,NA,NA
"37",40,7,100,100,100
"38",41,NA,NA,NA,NA
"39",42,NA,NA,NA,NA
"40",43,NA,NA,NA,NA
"41",44,NA,NA,NA,NA
"42",46,NA,NA,NA,NA
"43",47,NA,NA,NA,NA
"44",48,82,100,100,100
"45",49,NA,NA,NA,NA
"46",50,NA,NA,NA,NA
"47",51,NA,NA,NA,NA
"48",52,1,3,16,9
"49",53,NA,NA,NA,NA
"50",54,NA,NA,NA,NA
"51",55,NA,NA,NA,NA
"52",56,NA,NA,NA,NA
"53",57,2,100,100,100
"54",58,87,100,100,100
"55",59,1,100,100,100
"56",60,100,16,100,100
"57",61,NA,NA,NA,NA
"58",62,NA,NA,NA,NA
"59",63,NA,NA,NA,NA
"60",64,NA,NA,NA,NA
"61",65,NA,NA,NA,NA
"62",66,NA,NA,NA,NA
"63",67,NA,NA,NA,NA
"64",68,6,100,100,100
"65",69,NA,NA,NA,NA
"66",70,NA,NA,NA,NA
"67",71,2,41,100,100
"68",72,NA,NA,NA,NA
"69",73,NA,NA,NA,NA
"70",74,45,100,100,100
"71",75,NA,NA,NA,NA
"72",76,NA,NA,NA,NA
"73",77,NA,NA,NA,NA
"74",78,15,81,100,100
"75",79,NA,NA,NA,NA
