"","ID","2","3","4","5"
"1",7,1,5,100,100
"2",13,NA,NA,NA,NA
"3",15,NA,NA,NA,NA
"4",17,NA,NA,NA,NA
"5",21,NA,NA,NA,NA
"6",23,NA,NA,NA,NA
"7",27,39,100,100,100
"8",28,1,100,100,100
"9",29,NA,NA,NA,NA
"10",30,NA,NA,NA,NA
"11",35,41,100,100,100
"12",38,NA,NA,NA,NA
"13",39,25,100,100,100
"14",43,2,100,100,100
"15",47,9,100,100,100
"16",48,NA,NA,NA,NA
"17",49,NA,NA,NA,NA
"18",50,NA,NA,NA,NA
"19",51,NA,NA,NA,NA
"20",52,NA,NA,NA,NA
"21",53,3,16,100,100
"22",54,NA,NA,NA,NA
"23",58,12,100,100,100
"24",60,NA,NA,NA,NA
"25",61,3,100,100,100
"26",62,NA,NA,NA,NA
"27",64,NA,NA,NA,NA
"28",66,4,100,100,100
"29",67,NA,NA,NA,NA
"30",70,24,37,100,100
"31",72,NA,NA,NA,NA
"32",75,NA,NA,NA,NA
"33",76,NA,NA,NA,NA
"34",79,NA,NA,NA,NA
"35",81,NA,NA,NA,NA
"36",82,NA,NA,NA,NA
"37",86,NA,NA,NA,NA
"38",87,NA,NA,NA,NA
"39",94,NA,NA,NA,NA
"40",95,NA,NA,NA,NA
"41",96,NA,NA,NA,NA
"42",97,NA,NA,NA,NA
"43",98,NA,NA,NA,NA
"44",99,NA,NA,NA,NA
"45",100,NA,NA,NA,NA
"46",106,NA,NA,NA,NA
"47",108,NA,NA,NA,NA
"48",109,5,100,100,100
"49",112,2,100,100,100
"50",116,3,100,100,100
"51",122,NA,NA,NA,NA
"52",123,NA,NA,NA,NA
"53",124,NA,NA,NA,NA
"54",125,NA,NA,NA,NA
"55",126,NA,NA,NA,NA
"56",128,NA,NA,NA,NA
"57",135,NA,NA,NA,NA
"58",137,1,100,100,100
"59",138,NA,NA,NA,NA
"60",145,NA,NA,NA,NA
"61",148,17,100,100,100
"62",152,NA,NA,NA,NA
"63",159,NA,NA,NA,NA
"64",160,NA,NA,NA,NA
"65",161,NA,NA,NA,NA
"66",162,NA,NA,NA,NA
"67",167,NA,NA,NA,NA
"68",169,NA,NA,NA,NA
"69",170,NA,NA,NA,NA
"70",172,NA,NA,NA,NA
"71",173,NA,NA,NA,NA
"72",174,NA,NA,NA,NA
"73",177,NA,NA,NA,NA
"74",181,NA,NA,NA,NA
"75",186,5,100,100,100
"76",189,65,100,100,100
"77",190,NA,NA,NA,NA
"78",192,NA,NA,NA,NA
"79",193,17,100,100,100
"80",194,NA,NA,NA,NA
"81",195,NA,NA,NA,NA
"82",196,52,100,100,100
"83",197,NA,NA,NA,NA
"84",198,NA,NA,NA,NA
"85",203,50,100,100,100
"86",205,NA,NA,NA,NA
"87",206,NA,NA,NA,NA
"88",211,3,14,100,100
"89",214,NA,NA,NA,NA
"90",217,3,14,100,100
"91",218,NA,NA,NA,NA
"92",219,NA,NA,NA,NA
"93",221,15,100,100,100
"94",224,NA,NA,NA,NA
"95",225,4,21,100,100
"96",227,1,32,74,100
"97",233,1,16,8,100
"98",244,NA,NA,NA,NA
"99",245,NA,NA,NA,NA
"100",246,16,100,100,100
"101",248,NA,NA,NA,NA
"102",250,NA,NA,NA,NA
"103",252,NA,NA,NA,NA
"104",254,NA,NA,NA,NA
"105",255,NA,NA,NA,NA
"106",256,1,20,100,100
"107",260,NA,NA,NA,NA
"108",267,NA,NA,NA,NA
"109",268,NA,NA,NA,NA
"110",270,NA,NA,NA,NA
"111",273,NA,NA,NA,NA
"112",275,NA,NA,NA,NA
"113",276,33,100,100,100
"114",279,NA,NA,NA,NA
"115",283,39,100,100,100
"116",285,NA,NA,NA,NA
"117",287,NA,NA,NA,NA
"118",295,NA,NA,NA,NA
"119",297,NA,NA,NA,NA
"120",299,NA,NA,NA,NA
"121",300,NA,NA,NA,NA
"122",301,NA,NA,NA,NA
"123",302,1,4,46,100
"124",303,NA,NA,NA,NA
"125",304,NA,NA,NA,NA
"126",309,1,21,100,100
"127",313,NA,NA,NA,NA
"128",315,NA,NA,NA,NA
"129",318,5,93,100,100
"130",320,14,100,100,100
"131",321,NA,NA,NA,NA
"132",322,NA,NA,NA,NA
"133",331,NA,NA,NA,NA
"134",335,1,100,100,100
"135",340,NA,NA,NA,NA
"136",343,NA,NA,NA,NA
"137",347,NA,NA,NA,NA
"138",349,NA,NA,NA,NA
"139",350,NA,NA,NA,NA
"140",352,NA,NA,NA,NA
"141",353,NA,NA,NA,NA
"142",354,NA,NA,NA,NA
"143",356,NA,NA,NA,NA
"144",357,NA,NA,NA,NA
"145",359,1,3,100,100
"146",360,NA,NA,NA,NA
"147",361,NA,NA,NA,NA
"148",363,NA,NA,NA,NA
"149",367,NA,NA,NA,NA
"150",369,2,100,100,100
"151",370,NA,NA,NA,NA
"152",371,NA,NA,NA,NA
"153",372,NA,NA,NA,NA
"154",385,NA,NA,NA,NA
"155",386,NA,NA,NA,NA
"156",389,NA,NA,NA,NA
"157",390,NA,NA,NA,NA
"158",391,2,100,100,100
"159",394,NA,NA,NA,NA
"160",395,NA,NA,NA,NA
"161",396,NA,NA,NA,NA
"162",398,NA,NA,NA,NA
"163",399,NA,NA,NA,NA
"164",400,NA,NA,NA,NA
"165",406,NA,NA,NA,NA
"166",410,NA,NA,NA,NA
"167",413,NA,NA,NA,NA
"168",415,5,57,100,100
"169",416,1,33,100,100
"170",417,16,100,100,100
"171",419,1,5,100,100
"172",423,NA,NA,NA,NA
"173",425,NA,NA,NA,NA
"174",428,NA,NA,NA,NA
"175",429,NA,NA,NA,NA
"176",438,NA,NA,NA,NA
"177",439,1,100,100,100
"178",440,NA,NA,NA,NA
"179",441,NA,NA,NA,NA
"180",446,NA,NA,NA,NA
"181",449,NA,NA,NA,NA
