"","ID","Energetic","Cheerful","Relaxed","Satisfied","Nervous","Irritated","Bored","Down"
"1",54016,NA,NA,NA,NA,NA,NA,NA,NA
"2",54049,0.138673923080922,0.00828768977896338,0.0624196335240225,0.0532774611210948,0.0698149726759173,0.146018589775091,0.182753418548589,0.053281318259812
"3",54050,0.392127401116685,0.00902442877229259,0.26848530295663,0.0817062528380841,0.175077996002011,0.162477695325873,0.160158075212387,0.0469341022121265
"4",54064,0.0308329771078363,0.1004825988012,0.0691046563674199,0.0563554468111732,0.079748150158379,0.0350838091520193,0.0340209713315783,0.00584964619786904
"5",54067,NA,NA,NA,NA,NA,NA,NA,NA
"6",54070,0.0541589092084042,0.190168617222462,0.0825973566124318,0.10269524714663,0.112854226355333,0.0237359751752678,0.176846548509815,0.026902883094193
"7",54071,0.224878358044237,0.20397255322345,0.0450660525337824,0.301512308155772,0.0507948955944339,0.0529256700236044,0.167768982867158,0.323157089484959
"8",54075,NA,NA,NA,NA,NA,NA,NA,NA
"9",54090,NA,NA,NA,NA,NA,NA,NA,NA
"10",54096,NA,NA,NA,NA,NA,NA,NA,NA
"11",54098,NA,NA,NA,NA,NA,NA,NA,NA
"12",54102,NA,NA,NA,NA,NA,NA,NA,NA
"13",54103,NA,NA,NA,NA,NA,NA,NA,NA
"14",54114,NA,NA,NA,NA,NA,NA,NA,NA
"15",54115,NA,NA,NA,NA,NA,NA,NA,NA
"16",54117,NA,NA,NA,NA,NA,NA,NA,NA
"17",54119,NA,NA,NA,NA,NA,NA,NA,NA
"18",54121,NA,NA,NA,NA,NA,NA,NA,NA
"19",54128,NA,NA,NA,NA,NA,NA,NA,NA
"20",54129,NA,NA,NA,NA,NA,NA,NA,NA
"21",54131,NA,NA,NA,NA,NA,NA,NA,NA
"22",54134,NA,NA,NA,NA,NA,NA,NA,NA
"23",54135,NA,NA,NA,NA,NA,NA,NA,NA
"24",54138,NA,NA,NA,NA,NA,NA,NA,NA
"25",54146,NA,NA,NA,NA,NA,NA,NA,NA
"26",54148,NA,NA,NA,NA,NA,NA,NA,NA
"27",54151,NA,NA,NA,NA,NA,NA,NA,NA
"28",54153,NA,NA,NA,NA,NA,NA,NA,NA
"29",54157,NA,NA,NA,NA,NA,NA,NA,NA
"30",54158,NA,NA,NA,NA,NA,NA,NA,NA
"31",54180,NA,NA,NA,NA,NA,NA,NA,NA
"32",54183,NA,NA,NA,NA,NA,NA,NA,NA
