"","ID","Worried","Restless","Irritable","Sad","Tired"
"1",1,NA,NA,NA,NA,NA
"2",2,NA,NA,NA,NA,NA
"3",3,NA,NA,NA,NA,NA
"4",4,NA,NA,NA,NA,NA
"5",5,NA,NA,NA,NA,NA
"6",6,NA,NA,NA,NA,NA
"7",7,NA,NA,NA,NA,NA
"8",8,NA,NA,NA,NA,NA
"9",9,NA,NA,NA,NA,NA
"10",10,NA,NA,NA,NA,NA
"11",11,NA,NA,NA,NA,NA
"12",12,NA,NA,NA,NA,NA
"13",13,NA,NA,NA,NA,NA
"14",14,NA,NA,NA,NA,NA
"15",15,NA,NA,NA,NA,NA
"16",16,NA,NA,NA,NA,NA
"17",17,NA,NA,NA,NA,NA
"18",18,NA,NA,NA,NA,NA
"19",19,NA,NA,NA,NA,NA
"20",20,NA,NA,NA,NA,NA
"21",21,NA,NA,NA,NA,NA
"22",22,0.0821342300507637,0.168224963652225,0.149071198499986,0.162789504128088,0.187085693295004
"23",23,0.203655975629709,0.232084715159775,0.180414944654643,0.322299394854321,0.355471291504996
"24",24,NA,NA,NA,NA,NA
"25",25,NA,NA,NA,NA,NA
"26",26,NA,NA,NA,NA,NA
"27",27,0.125315922495773,0.115760272924115,0.278021946822905,0.106518931317505,0.187308613506978
"28",28,0.033505327343728,0.0318319303728029,0.0990453766251212,0.0658450188976388,0.205270371698404
"29",29,NA,NA,NA,NA,NA
"30",30,NA,NA,NA,NA,NA
"31",31,0.0335053537510351,0.0318316926400572,0.0990451683137678,0.0658448274776111,0.205270406560206
"32",32,NA,NA,NA,NA,NA
"33",33,NA,NA,NA,NA,NA
"34",34,NA,NA,NA,NA,NA
"35",35,NA,NA,NA,NA,NA
"36",36,NA,NA,NA,NA,NA
"37",37,NA,NA,NA,NA,NA
"38",38,NA,NA,NA,NA,NA
"39",39,NA,NA,NA,NA,NA
"40",40,NA,NA,NA,NA,NA
"41",41,NA,NA,NA,NA,NA
"42",42,NA,NA,NA,NA,NA
"43",43,NA,NA,NA,NA,NA
"44",44,NA,NA,NA,NA,NA
"45",45,NA,NA,NA,NA,NA
"46",46,NA,NA,NA,NA,NA
"47",47,NA,NA,NA,NA,NA
"48",48,NA,NA,NA,NA,NA
"49",49,NA,NA,NA,NA,NA
"50",50,NA,NA,NA,NA,NA
"51",51,NA,NA,NA,NA,NA
"52",52,NA,NA,NA,NA,NA
"53",53,NA,NA,NA,NA,NA
"54",54,NA,NA,NA,NA,NA
"55",55,NA,NA,NA,NA,NA
"56",56,NA,NA,NA,NA,NA
"57",57,NA,NA,NA,NA,NA
"58",58,NA,NA,NA,NA,NA
"59",59,NA,NA,NA,NA,NA
"60",60,NA,NA,NA,NA,NA
"61",61,NA,NA,NA,NA,NA
"62",62,0.337990294372735,0.299294563411031,0.309234180011439,0.352393304766482,0.488559028786929
"63",63,NA,NA,NA,NA,NA
"64",64,0.238883893244978,0.0371196169322811,0.177166307376261,0.242660869364348,0.208289054719994
"65",65,NA,NA,NA,NA,NA
"66",66,0.329023746197674,0.538806839399229,0.321636946521759,0.365326103084471,0.539817242817164
"67",67,NA,NA,NA,NA,NA
"68",68,NA,NA,NA,NA,NA
"69",69,NA,NA,NA,NA,NA
"70",70,NA,NA,NA,NA,NA
