"","ID","Sad","Lonely","Jittery","Nervous","Angry","Hostile","Happy","Excited"
"1",101,NA,NA,NA,NA,NA,NA,NA,NA
"2",102,NA,NA,NA,NA,NA,NA,NA,NA
"3",103,NA,NA,NA,NA,NA,NA,NA,NA
"4",104,NA,NA,NA,NA,NA,NA,NA,NA
"5",105,NA,NA,NA,NA,NA,NA,NA,NA
"6",106,NA,NA,NA,NA,NA,NA,NA,NA
"7",107,NA,NA,NA,NA,NA,NA,NA,NA
"8",108,NA,NA,NA,NA,NA,NA,NA,NA
"9",109,NA,NA,NA,NA,NA,NA,NA,NA
"10",110,NA,NA,NA,NA,NA,NA,NA,NA
"11",111,NA,NA,NA,NA,NA,NA,NA,NA
"12",112,NA,NA,NA,NA,NA,NA,NA,NA
"13",113,NA,NA,NA,NA,NA,NA,NA,NA
"14",114,NA,NA,NA,NA,NA,NA,NA,NA
"15",115,NA,NA,NA,NA,NA,NA,NA,NA
"16",116,NA,NA,NA,NA,NA,NA,NA,NA
"17",117,NA,NA,NA,NA,NA,NA,NA,NA
"18",118,NA,NA,NA,NA,NA,NA,NA,NA
"19",119,NA,NA,NA,NA,NA,NA,NA,NA
"20",120,NA,NA,NA,NA,NA,NA,NA,NA
"21",121,NA,NA,NA,NA,NA,NA,NA,NA
"22",122,NA,NA,NA,NA,NA,NA,NA,NA
"23",123,NA,NA,NA,NA,NA,NA,NA,NA
"24",124,NA,NA,NA,NA,NA,NA,NA,NA
"25",125,NA,NA,NA,NA,NA,NA,NA,NA
"26",126,NA,NA,NA,NA,NA,NA,NA,NA
"27",127,NA,NA,NA,NA,NA,NA,NA,NA
"28",128,NA,NA,NA,NA,NA,NA,NA,NA
"29",129,NA,NA,NA,NA,NA,NA,NA,NA
"30",130,NA,NA,NA,NA,NA,NA,NA,NA
"31",131,NA,NA,NA,NA,NA,NA,NA,NA
"32",132,NA,NA,NA,NA,NA,NA,NA,NA
"33",133,NA,NA,NA,NA,NA,NA,NA,NA
"34",134,NA,NA,NA,NA,NA,NA,NA,NA
"35",135,NA,NA,NA,NA,NA,NA,NA,NA
"36",136,NA,NA,NA,NA,NA,NA,NA,NA
"37",137,NA,NA,NA,NA,NA,NA,NA,NA
"38",138,NA,NA,NA,NA,NA,NA,NA,NA
"39",139,NA,NA,NA,NA,NA,NA,NA,NA
"40",140,NA,NA,NA,NA,NA,NA,NA,NA
"41",141,NA,NA,NA,NA,NA,NA,NA,NA
"42",142,NA,NA,NA,NA,NA,NA,NA,NA
"43",143,NA,NA,NA,NA,NA,NA,NA,NA
"44",144,NA,NA,NA,NA,NA,NA,NA,NA
"45",145,NA,NA,NA,NA,NA,NA,NA,NA
"46",146,NA,NA,NA,NA,NA,NA,NA,NA
"47",147,NA,NA,NA,NA,NA,NA,NA,NA
"48",148,NA,NA,NA,NA,NA,NA,NA,NA
"49",149,NA,NA,NA,NA,NA,NA,NA,NA
"50",150,NA,NA,NA,NA,NA,NA,NA,NA
"51",151,NA,NA,NA,NA,NA,NA,NA,NA
"52",152,NA,NA,NA,NA,NA,NA,NA,NA
"53",153,NA,NA,NA,NA,NA,NA,NA,NA
"54",154,NA,NA,NA,NA,NA,NA,NA,NA
"55",155,NA,NA,NA,NA,NA,NA,NA,NA
"56",156,NA,NA,NA,NA,NA,NA,NA,NA
"57",157,NA,NA,NA,NA,NA,NA,NA,NA
"58",158,NA,NA,NA,NA,NA,NA,NA,NA
"59",159,NA,NA,NA,NA,NA,NA,NA,NA
"60",160,NA,NA,NA,NA,NA,NA,NA,NA
"61",161,NA,NA,NA,NA,NA,NA,NA,NA
"62",162,NA,NA,NA,NA,NA,NA,NA,NA
"63",163,NA,NA,NA,NA,NA,NA,NA,NA
"64",164,NA,NA,NA,NA,NA,NA,NA,NA
"65",165,NA,NA,NA,NA,NA,NA,NA,NA
"66",166,NA,NA,NA,NA,NA,NA,NA,NA
"67",167,NA,NA,NA,NA,NA,NA,NA,NA
"68",168,NA,NA,NA,NA,NA,NA,NA,NA
"69",169,NA,NA,NA,NA,NA,NA,NA,NA
"70",170,NA,NA,NA,NA,NA,NA,NA,NA
"71",171,NA,NA,NA,NA,NA,NA,NA,NA
"72",172,NA,NA,NA,NA,NA,NA,NA,NA
"73",173,NA,NA,NA,NA,NA,NA,NA,NA
"74",174,NA,NA,NA,NA,NA,NA,NA,NA
"75",175,NA,NA,NA,NA,NA,NA,NA,NA
"76",176,NA,NA,NA,NA,NA,NA,NA,NA
